nomination_id,url,Congress,name,organization,Description,date_received,Committee,date_last_action,Latest Action,last_action,congress,residence,role
PN2309,https://www.congress.gov/nomination/107th-congress/2309,107th Congress (2001-2002),Leonardo M. Rapadas,Department of Justice,"Leonardo M. Rapadas, of Guam, to be United States Attorney for the District of the Guam and concurrently United States Attorney for the District of the Northern Mariana Islands for the term of four years, vice K. William O' Connor, resigned.",2002-11-19,Judiciary,2002-11-20,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",returned,107,Guam,United States Attorney
PN2308,https://www.congress.gov/nomination/107th-congress/2308,107th Congress (2001-2002),Humberto S. Garcia,Department of Justice,"Humberto S. Garcia, of Puerto Rico, to be United States Attorney for the District of Puerto Rico for the term of four years, vice Daniel F. Lopez Romo, resigned.",2002-11-19,Judiciary,2002-11-20,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",returned,107,Puerto Rico,United States Attorney
PN2302,https://www.congress.gov/nomination/107th-congress/2302,107th Congress (2001-2002),Richard Zenos Winget,Department of Justice,"Richard Zenos Winget, of Nevada, to be United States Marshal for the District of Nevada, vice Jose Gerardo Troncoso.",2002-11-14,Judiciary,2002-11-20,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",returned,107,Nevada,United States Marshal
PN2301,https://www.congress.gov/nomination/107th-congress/2301,107th Congress (2001-2002),Harlon Eugene Costner,Department of Justice,"Harlon Eugene Costner, of North Carolina, to be United States Marshal for the Middle District of North Carolina for the term of four years, vice Becky Jane Wallace.",2002-11-14,Judiciary,2002-11-20,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",returned,107,North Carolina,United States Marshal
PN2256,https://www.congress.gov/nomination/107th-congress/2256,107th Congress (2001-2002),Thomas A. Varlan,The Judiciary,"Thomas A. Varlan, of Tennessee, to be United States District Judge for the Eastern District of Tennessee, vice Robert Leon Jordan, retired.",2002-10-10,Judiciary,2002-11-20,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",returned,107,Tennessee,United States District Judge
PN2255,https://www.congress.gov/nomination/107th-congress/2255,107th Congress (2001-2002),J. Daniel Breen,The Judiciary,"J. Daniel Breen, of Tennessee, to be United States District Judge for the Western District of Tennessee, vice Julia Smith Gibbons, elevated.",2002-10-10,Judiciary,2002-11-20,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",returned,107,Tennessee,United States District Judge
PN2254,https://www.congress.gov/nomination/107th-congress/2254,107th Congress (2001-2002),John R. Adams,The Judiciary,"John R. Adams, of Ohio, to be United States District Judge for the Northern District of Ohio, vice George Washington White, retired.",2002-10-10,Judiciary,2002-11-20,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",returned,107,Ohio,United States District Judge
PN2253,https://www.congress.gov/nomination/107th-congress/2253,107th Congress (2001-2002),Cormac J. Carney,The Judiciary,"Cormac J. Carney, of California, to be United States District Judge for the Central District of California, vice Carlos R. Moreno, resigned.",2002-10-10,Judiciary,2002-11-20,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",returned,107,California,United States District Judge
PN2191,https://www.congress.gov/nomination/107th-congress/2191,107th Congress (2001-2002),John Francis Clark,Department of Justice,"John Francis Clark, of Virginia, to be United States Marshal for the Eastern District of Virginia for the term of four years, vice John William Marshall, resigned.",2002-09-20,Judiciary,2002-11-12,Confirmed by the Senate by Voice Vote.,confirmed,107,Virginia,United States Marshal
PN2190,https://www.congress.gov/nomination/107th-congress/2190,107th Congress (2001-2002),Kevin J. O'Connor,Department of Justice,"Kevin J. O'Connor, of Connecticut, to be United States Attorney for the District of Connecticut for the term of four years, vice Stephen C. Robinson, resigned.",2002-09-20,Judiciary,2002-11-15,Confirmed by the Senate by Voice Vote.,confirmed,107,Connecticut,United States Attorney
PN2155,https://www.congress.gov/nomination/107th-congress/2155,107th Congress (2001-2002),Victor J. Wolski,The Judiciary,"Victor J. Wolski, of Virginia, to be a Judge of the United States Court of Federal Claims for a term of fifteen years, vice Bohdan A. Futey, term expired.",2002-09-12,Judiciary,2002-11-20,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",returned,107,Virginia,Judge
PN2154,https://www.congress.gov/nomination/107th-congress/2154,107th Congress (2001-2002),William D. Quarles Jr.,The Judiciary,"William D. Quarles, Jr., of Maryland, to be United States District Judge for the District of Maryland, vice William M. Nickerson, retired.",2002-09-12,Judiciary,2002-11-20,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",returned,107,Maryland,United States District Judge
PN2153,https://www.congress.gov/nomination/107th-congress/2153,107th Congress (2001-2002),Thomas L. Ludington,The Judiciary,"Thomas L. Ludington, of Michigan, to be United States District Judge for the Eastern District of Michigan, vice Paul V. Gadola, retired.",2002-09-12,Judiciary,2002-11-20,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",returned,107,Michigan,United States District Judge
PN2152,https://www.congress.gov/nomination/107th-congress/2152,107th Congress (2001-2002),S. Maurice Hicks Jr.,The Judiciary,"S. Maurice Hicks, Jr., of Louisiana, to be United States District Judge for the Western District of Louisiana, vice Donald E. Walter, retired.",2002-09-12,Judiciary,2002-11-20,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",returned,107,Louisiana,United States District Judge
PN2151,https://www.congress.gov/nomination/107th-congress/2151,107th Congress (2001-2002),Ralph R. Erickson,The Judiciary,"Ralph R. Erickson, of North Dakota, to be United States District Judge for the District of North Dakota, vice Rodney S. Webb, retired.",2002-09-12,Judiciary,2002-11-20,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",returned,107,North Dakota,United States District Judge
PN2144,https://www.congress.gov/nomination/107th-congress/2144,107th Congress (2001-2002),Glenn T. Suddaby,Department of Justice,"Glenn T. Suddaby, of New York, to be United States Attorney for the Northern District of New York for the term of four years, vice Daniel J. French, resigned.",2002-09-10,Judiciary,2002-11-12,Confirmed by the Senate by Voice Vote.,confirmed,107,New York,United States Attorney
PN2074,https://www.congress.gov/nomination/107th-congress/2074,107th Congress (2001-2002),Joseph R. Guccione,Department of Justice,"Joseph R. Guccione, of New York, to be United States Marshal for the Southern District of New York for the term of four years, vice Russell John Qualliotine.",2002-08-01,Judiciary,2002-11-12,Confirmed by the Senate by Voice Vote.,confirmed,107,New York,United States Marshal
PN2073,https://www.congress.gov/nomination/107th-congress/2073,107th Congress (2001-2002),Dennis Arthur Williamson,Department of Justice,"Dennis Arthur Williamson, of Florida, to be United States Marshal for the Northern District of Florida for the term of four years, vice James W. Lockley, term expired.",2002-08-01,Judiciary,2002-11-20,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",returned,107,Florida,United States Marshal
PN2072,https://www.congress.gov/nomination/107th-congress/2072,107th Congress (2001-2002),Christina Pharo,Department of Justice,"Christina Pharo, of Florida, to be United States Marshal for the Southern District of Florida for the term of four years, vice James A. Tassone.",2002-08-01,Judiciary,2002-11-20,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",returned,107,Florida,United States Marshal
PN2071,https://www.congress.gov/nomination/107th-congress/2071,107th Congress (2001-2002),Thomas Dyson Hurlburt Jr.,Department of Justice,"Thomas Dyson Hurlburt, Jr., of Florida, to be United States Marshal for the Middle District of Florida for the term of four years, vice Don R. Moreland, term expired.",2002-08-01,Judiciary,2002-11-20,"Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.",returned,107,Florida,United States Marshal
